URL,Title,Image,Price,CPU,GPU,Memory,Storage,Type,Usage
https://www.newegg.com/acer-an517-52-52t3/p/1TS-000X-028N1,"Acer Nitro 5 - 17.3"" Gaming Laptop Intel i5-10300H 2.5GHz 1920x1080 8GB Ram 512GB SSD GTX 1650Ti  Win 10",https://c1.neweggimages.com/ProductImage/1TS-000X-028N1-S01.jpg,699.99,,,,,Laptop,Gaming
https://www.newegg.com/phantom-black-lenovo-legion-5-17imh05h-81y80016us-gaming-entertainment/p/N82E16834845945,"Lenovo Legion 5 - 17.3"" - Intel Core i7-10750H - GeForce RTX 2060 - 16 GB DDR4 - 256 GB SSD + 1 TB HDD - Windows 10 Home - Gaming Laptop (81Y80016US)",https://c1.neweggimages.com/ProductImage/34-845-945-V17.jpg,"1,299.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2060,16 GB,256 GB PCIe,Laptop,Gaming
https://www.newegg.com/p/N82E16834155638,"MSI Alpha 15 A4DEK-005 - 15.6"" 144 Hz - AMD Ryzen 7 4800H - AMD Radeon RX 5600M - 16 GB DDR4 - 1 TB SSD - Windows 10 Home - Gaming Laptop",https://c1.neweggimages.com/ProductImage/34-155-638-V01.jpg,"1,199.00",AMD Ryzen 7 4000 Series,1 TB NVMe,No,16 GB,Laptop,Gaming
https://www.newegg.com/rog-strix-g15-black-asus-g512lv-es74-gaming-entertainment/p/N82E16834235465,"ASUS ROG Strix G15 (2020) - 15.6"" 144 Hz - GeForce RTX 2060 - Intel Core i7-10750H - 16 GB DDR4 - 512 GB PCIe SSD - Windows 10 Home - Gaming Laptop (G512LV-ES74)",https://c1.neweggimages.com/ProductImage/34-235-465-V09.jpg,"1,299.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2060,16 GB,512 GB,Laptop,Gaming
https://www.newegg.com/stealth-black-asus-tuf-gaming-fx505dv-wb74-gaming-entertainment/p/N82E16834235588,"ASUS TUF Gaming - 15.6"" 144 Hz - AMD Ryzen 7 3750H - GeForce RTX 2060 - 16 GB DDR4 - 512 GB SSD - RGB Keyboard - Gigabit Wi-Fi 5 - Windows 10 Home - Gaming Laptop (FX505DV-WB74)",https://c1.neweggimages.com/ProductImage/34-235-588-V01.jpg,999.00,,,,,Laptop,Gaming
https://www.newegg.com/abyssal-black-acer-predator-helios-300-ph317-54-77th-gaming-entertainment/p/N82E16834316960,"Acer Predator Helios 300 - 17.3"" 144 Hz - Intel Core i7-10750H - GeForce RTX 2060 - 16 GB Memory - 1 TB SSD - Windows 10 Home - Gaming Laptop (PH317-54-77TH)",https://c1.neweggimages.com/ProductImage/34-316-960-V13.jpg,"1,199.99",Intel Core i7 10th Gen,1 TB NVMe,No,16 GB,Laptop,Gaming
https://www.newegg.com/black-msi-gf-series-gf65-thin-9sexr-838-gaming-entertainment/p/N82E16834155585,"MSI GF65 Thin 9SEXR-838 - 15.6"" 144 Hz - Intel Core i7-9750H - GeForce RTX 2060 - 8 GB DDR4 - 512 GB SSD - Windows 10 Home - Gaming Laptop",https://c1.neweggimages.com/ProductImage/34-155-585-V21.jpg,"1,149.00",Intel Core i7 9th Gen,NVIDIA GeForce RTX 2060,8 GB,512 GB NVMe,Laptop,Gaming
https://www.newegg.com/obsidian-black-acer-nitro-5-an515-54-547d-gaming-entertainment/p/N82E16834316918,"Acer Nitro 5 - 15.6"" - Intel Core i5-9300H - GeForce RTX 2060 - 16 GB DDR4 - 512 GB SSD - Gaming Laptop (AN515-54-547D)",https://c1.neweggimages.com/ProductImage/34-316-918-V31.jpg,999.99,Intel Core i5 9th Gen,512 GB PCIe,No,16 GB,Laptop,Gaming
https://www.newegg.com/black-msi-gf-series-gf63-thin-9scx-005-gaming-entertainment/p/N82E16834155354,"MSI GF63 THIN 9SCX-005 - 15.6"" 60 Hz - Intel Core i5-9300H - GeForce GTX 1650 Max-Q - 8 GB DDR4 - 256 GB SSD - Windows 10 Home - Gaming Laptop",https://c1.neweggimages.com/ProductImage/34-155-354-V01.jpg,699.00,Intel Core i5 9th Gen,256 GB,No,8 GB,Laptop,Gaming
https://www.newegg.com/acid-green-hp-pavilion-16-a0020nr/p/N82E16834272034,"HP Pavilion - 16.1"" - Intel Core i5-10300H - GeForce GTX 1650 Ti - 8 GB Memory - 512 GB SSD - Windows 10 Home - Gaming Laptop (16-a0020nr)",https://c1.neweggimages.com/ProductImage/34-272-034-V01.jpg,769.99,Intel Core i5 10th Gen,512 GB PCIe,No,8 GB,Laptop,Gaming
https://www.newegg.com/core-black-msi-gs-series-gs66-stealth-10se-442-gaming-entertainment/p/N82E16834155525,"MSI GS66 Stealth 10SE-442 - 15.6"" 240 Hz - Intel Core i7-10875H - GeForce RTX 2060 - 16 GB DDR4 - 512 GB SSD - Gaming Laptop",https://c1.neweggimages.com/ProductImage/34-155-525-V21.jpg,"1,699.00",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2060,16 GB,512 GB NVMe,Laptop,Gaming
https://www.newegg.com/p/N82E16834725086,"Gigabyte Aorus 5 - 15.6"" 144 Hz - Intel Core i7-10750H - GeForce RTX 2060 - 16 GB DDR4 - 512 GB SSD - Windows 10 Home - Gaming Laptop (Aorus 5 KB-7US1130SH) - Only @ Newegg",https://c1.neweggimages.com/ProductImage/34-725-086-V12.jpg,"1,099.00",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2060,16 GB,512 GB,Laptop,Gaming
https://www.newegg.com/fortress-gray-asus-tuf-gaming-tuf706iu-as76-gaming-entertainment/p/N82E16834235407,"ASUS TUF Gaming A17 - 17.3"" 120 Hz - AMD Ryzen 7 4800H - GeForce GTX 1660 Ti - 16 GB DDR4 - 1 TB PCIe SSD - Windows 10 Home - Gaming Laptop (TUF706IU-AS76)",https://c1.neweggimages.com/ProductImage/34-235-407-01.jpg,"1,099.99",AMD Ryzen 7 4000 Series,1 TB PCIe,No,16 GB,Laptop,Gaming
https://www.newegg.com/obsidian-black-acer-nitro-5-an515-55-54q0-gaming-entertainment/p/N82E16834316919,"Acer Nitro 5 - 15.6"" FHD - Intel Core i5-10300H - GeForce GTX 1650 Ti - 16 GB DDR4 - 512 GB SSD - Gaming Laptop (AN515-55-54Q0)",https://c1.neweggimages.com/ProductImage/34-316-919-V28.jpg,899.99,Intel Core i5 10th Gen,512 GB,No,16 GB,Laptop,Gaming
https://www.newegg.com/black-asus-vivobook-k571-k571gt-eb76-gaming-entertainment/p/N82E16834235266,"ASUS VivoBook K571 - 15.6"" FHD - Intel Core i7-9750H - GeForce GTX 1650 - 16 GB RAM - 256 GB SSD + 1 TB HDD - Windows 10 Home - Laptop (K571GT-EB76, Star Black)",https://c1.neweggimages.com/ProductImage/34-235-266-V11.jpg,949.00,Intel Core i7 9th Gen,NVIDIA GeForce GTX 1650,16 GB,256 GB PCIe,Laptop,Gaming
https://www.newegg.com/obsidian-black-acer-nitro-5-an515-55-55sd-gaming-entertainment/p/N82E16834316951,"Acer Nitro 5 - 15.6"" - Intel Core i5-10300H - GeForce GTX 1650 - 8 GB DDR4 - 512 GB SSD - Windows 10 Home - Gaming Laptop (AN515-55-55SD)",https://c1.neweggimages.com/ProductImage/34-316-951-V12.jpg,769.99,Intel Core i5 10th Gen,512 GB NVMe,No,8 GB,Laptop,Gaming
https://www.newegg.com/abyssal-black-acer-predator-triton-300-pt315-52-73wt-gaming-entertainment/p/N82E16834316952,"Acer Predator Triton 300 - 15.6"" 240 Hz - Intel Core i7-10750H - GeForce RTX 2070 Max-Q - 16 GB Memory - 512 GB PCIe SSD - Windows 10 Home - Gaming Laptop (PT315-52-73WT)",https://c1.neweggimages.com/ProductImage/34-316-952-04.jpg,"1,499.99",Intel Core i7 10th Gen,512 GB PCIe,No,16 GB,Laptop,Gaming
https://www.newegg.com/matte-black-with-gold-diamond-cut-msi-gs-series-gs65-stealth-838-gaming-entertainment/p/2WC-000C-01EH4,"MSI GS65 Stealth-838 - 15.6"" 240 Hz - Intel Core i7-9750H - GeForce RTX 2080 Max-Q - 32 GB DDR4 - 512 GB SSD - Windows 10 Pro - Gaming Laptop",https://c1.neweggimages.com/ProductImage/2WC-000C-01EH4-V39.jpg,"2,199.99",Intel Core i7 9th Gen,NVIDIA GeForce RTX 2080 Max-Q,32 GB,512 GB NVMe,Laptop,Gaming
https://www.newegg.com/rog-strix-g-black-asus-rog-strix-g17-g712lw-es74-gaming-entertainment/p/N82E16834235461,"ASUS ROG Strix G17 (2020) - 17.3"" 144 Hz - GeForce RTX 2070 - Intel Core i7-10750H - 16 GB DDR4 - 512 GB SSD - RGB KB - Windows 10 - Gaming Laptop (G712LW-ES74)",https://c1.neweggimages.com/ProductImage/34-235-461-V09.jpg,"1,399.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 2070,16 GB,512 GB PCIe,Laptop,Gaming
