URL,Title,Image,Price,CPU,GPU,Memory,Storage,Type,Usage
https://www.newegg.com/clx-tgmsetrth9a09bm-gaming-entertainment/p/1VK-01TP-00072,"CLX SET VR-Ready Gaming Desktop w/ Intel Core i7 9700KF 8-Core 3.6GHz Processor, 32GB DDR4 Memory, NVIDIA GeForce RTX 2080 SUPER 8GB Graphics, 960GB SSD, 3TB HDD, WiFi, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/ABFS_1_201911131942185121.jpg,"2,341.99",Intel Core i7 9th Gen,NVIDIA GeForce RTX 2080 SUPER,32 GB DDR4,960 GB,Desktop,Gaming
https://www.newegg.com/clx-tgmsetrth9a04br-gaming-entertainment/p/1VK-01TP-00053,"CLX SET VR-Ready Gaming Desktop w/ Intel Core i7 9700KF 8-Core 3.6GHz Processor, 16GB DDR4 Memory, NVIDIA GeForce RTX 2070 SUPER 8GB Graphics, 1TB M.2 NVMe SSD, 3TB HDD, WiFi, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/ABFS_1_2019111390210032.jpg,"1,899.99",Intel Core i7 9th Gen,NVIDIA GeForce RTX 2070 SUPER,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/abs-ali466/p/N82E16883360051,ABS Master Gaming PC - Intel i7 9700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-360-051-01.jpg,"1,299.99",,,,,Desktop,Gaming
https://www.newegg.com/clx-tgmsetrth9a05bm-gaming-entertainment/p/1VK-01TP-00057,"CLX SET VR-Ready Gaming Desktop w/ Intel Core i7 9700KF 8-Core 3.6GHz Processor, 32GB DDR4 Memory, NVIDIA GeForce RTX 2070 SUPER 8GB Graphics, 1TB M.2 NVMe SSD, 4TB HDD, WiFi, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/ABFS_1_201911131407836058.jpg,"2,132.99",Intel Core i7 9th Gen,NVIDIA GeForce RTX 2070 SUPER,32 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/p/3D5-000D-000B4,"Cobratype ASP Gaming PC Desktop - GeForce GTX 1650, Intel Core i5, 8GB RAM, 500GB SSD + 500GB HDD, Windows 10, Wi-Fi",https://c1.neweggimages.com/ProductImage/AHT3S201026XTTjH.jpg,949.99,8 GB DDR3,500 GB,No Screen,"October 24, 2019",Desktop,Gaming
https://www.newegg.com/p/1VK-0001-5CDZ0,Alienware Aurora R10 AMD Ryzen 5 3500 6-Core 3.6GHz - Radeon RX 5600 6GB GDDR6 - 8GB 2666Mhz - 1TB 7200RPM - 550W - W10 Lunar Light Gaming Dekstop,https://c1.neweggimages.com/ProductImage/AC3JS200819a4Dcs.jpg,"1,449.95",AMD Radeon RX 5600 XT,8 GB DDR4,No,No Screen,Desktop,Gaming
https://www.newegg.com/p/1VK-005B-000J5,"Skytech Archangel Gaming Computer PC Desktop – Ryzen 5 3600 3.6GHz, GTX 1660 6G, 500GB SSD, 8GB DDR4 3000MHz, RGB Fans, Windows 10 Home 64-bit, Wraith Cooler, 802.11AC Wi-Fi",https://c1.neweggimages.com/ProductImage/AKMK_1_20190814298926761.jpg,949.99,NVIDIA GeForce GTX 1660,8 GB DDR4,500 GB,No Screen,Desktop,Gaming
https://www.newegg.com/p/1VK-009Y-00057,"Corsair i145s Gaming Desktop Computer, Intel Core i7-9700K 3.6GHz, 32GB RAM, 960GB SSD + 2TB HDD, NVIDIA GeForce RTX 2080 SUPER 8GB, Windows 10 Home",https://c1.neweggimages.com/ProductImage/A4P0S201105pb5BB.jpg,"2,899.99",,,,,Desktop,Gaming
https://www.newegg.com/p/1VK-005B-000K8,"Skytech Archangel Gaming Computer PC Desktop – RYZEN 5 2600X 6-Core 3.6 GHz, GTX 1660 6G, 500GB SSD, 16GB DDR4 3000MHz, RGB Fans, Windows 10 Home",https://c1.neweggimages.com/ProductImage/A08C_1_20200107657906850.jpg,949.99,NVIDIA GeForce GTX 1660,16 GB DDR4,500 GB,No Screen,Desktop,Gaming
https://www.newegg.com/p/1VK-01WU-00006,"Allied Gaming PC Patriot Desktop: AMD Ryzen 9 3900X, AMD RX 5700XT 8GB, 16GB DDR4 3200MHz RAM, 1TB PCI-E NVMe SSD, X570, 600Watt 80+ Gold, RGB Fans, Wi-Fi Ready",https://c1.neweggimages.com/ProductImage/AR9NS201111Alv5P.jpg,"1,599.00",16 GB DDR4,1 TB PCIe,No Screen,"November 14, 2020",Desktop,Gaming
https://www.newegg.com/p/1VK-01UK-00015,"ViprTech Snowstorm Gaming PC Computer Desktop - AMD Ryzen 3 3200G, AMD Radeon Vega 8 2GB, 8GB DDR4 RAM, 128GB M.2 SSD, 1TB HDD, RGB, WiFi, Windows 10 Pro",https://c1.neweggimages.com/ProductImage/AKF7S201120doMkC.jpg,514.95,AMD Radeon Vega 8,8 GB DDR4,128 GB,No Screen,Desktop,Gaming
https://www.newegg.com/p/3D5-000D-00085,"Cobratype Racer Gaming PC Desktop Computer - AMD Ryzen, GeForce GTX 1650, 8GB DDR4, SSD, Windows 10, RGB Keyboard + Mouse",https://c1.neweggimages.com/ProductImage/AHT3S201026L0DjE.jpg,879.99,8 GB DDR4,120 GB,No Screen,"June 21, 2019",Desktop,Gaming
https://www.newegg.com/p/1VK-005B-000M4,"SkyTech Blaze - Gaming Computer PC Desktop – Intel Core i5-9400F 6-Core 2.9 GHz, NVIDIA GeForce GTX 1650 4GB, 500G SSD, 8GB DDR4, AC WiFi, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/A08C_1_202001071189776683.jpg,699.99,NVIDIA GeForce GTX 1650,8 GB DDR4,500 GB,No Screen,Desktop,Gaming
https://www.newegg.com/p/3D5-000D-00082,"Cobratype Viper Gaming PC Desktop - Ryzen 4.0Ghz, GeForce GTX 1650, 16GB RAM, 500GB SSD, 500GB HDD, Windows 10, RGB Keyboard + Mouse",https://c1.neweggimages.com/ProductImage/AHT3S201026YvyXL.jpg,899.99,16 GB DDR4,500 GB,No Screen,"June 21, 2019",Desktop,Gaming
https://www.newegg.com/clx-tgmsetrth9a19br-gaming-entertainment/p/1VK-01TP-00034,"CLX SET VR-Ready Gaming Desktop w/ AMD Ryzen 9 3900X 12-Core 3.8GHz Processor, 16GB DDR4 Memory, NVIDIA GeForce RTX 2070 SUPER 8GB Graphics, 240GB SSD, 2TB HDD, WiFi, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/ABFS_1_20191113663775011.jpg,"1,999.99",Ryzen 9 3rd Gen,NVIDIA GeForce RTX 2070 SUPER,16 GB DDR4,240 GB,Desktop,Gaming
https://www.newegg.com/abs-ali455/p/N82E16883360039,ABS Gladiator Gaming PC - Intel i7 10700F - ASUS Dual GeForce RTX 3070 8GB - G.Skill Ripjaw V 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,https://c1.neweggimages.com/ProductImage/83-360-039-05.jpg,"1,699.99",Intel Core i7 10th Gen,NVIDIA GeForce RTX 3070,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/abs-computer-technologies-ali416/p/N82E16883102994,ABS Master Gaming PC - Intel i5 10400F - GeForce RTX 2060 - 16GB DDR4 - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-102-994-01.jpg,949.99,Intel Core i5 10th Gen,GeForce RTX 2060,16 GB DDR4,512 GB,Desktop,Gaming
https://www.newegg.com/abs-ali462/p/N82E16883360047,ABS Gladiator Gaming PC - Intel Core i7-9700F - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB SSD,https://c1.neweggimages.com/ProductImage/83-360-047-03.jpg,"1,499.99",Intel Core i7 9th Gen,NVIDIA GeForce RTX 3070,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/abs-ali457/p/N82E16883360041,ABS Challenger Gaming PC - Intel i5 9400 - GeForce GTX 1660 - 16GB DDR4 3000MHz - 512GB SSD,https://c1.neweggimages.com/ProductImage/83-360-041-01.jpg,799.99,Intel Core i5 9th Gen,GeForce GTX 1660,16 GB DDR4,512 GB,Desktop,Gaming
https://www.newegg.com/abs-ala223/p/N82E16883360020,ABS Master Gaming PC - Ryzen 7 3700X - AMD Radeon RX 5700 XT - 16GB DDR4 3000MHz - 1TB SSD,https://c1.neweggimages.com/ProductImage/83-360-020-04.jpg,"1,249.99",Ryzen 7 3rd Gen,AMD Radeon RX 5700 XT,16 GB DDR4,1 TB,Desktop,Gaming
https://www.newegg.com/clx-tgnsetgxm0601bm/p/N82E16883272199,"CLX SET VR-Ready Gaming Desktop - Intel Core i5 10400 2.9 GHz 6-Core, 8 GB DDR4 Memory, GeForce GTX 1650 SUPER 4 GB, 480 GB SSD, WiFi, Black Mid-Tower, Windows 10 Home 64-bit",https://c1.neweggimages.com/ProductImage/83-272-199-03.jpg,849.00,Intel Core i5 10th Gen,NVIDIA GeForce GTX 1650 SUPER,8 GB DDR4,480 GB,Desktop,Gaming
